,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2010-01-04,4820621,509565975,107.0,108.0,104.5,105.5,-1.5,2240
1,2010-01-05,12081366,1231600739,105.5,106.0,100.0,100.5,-5.0,5609
2,2010-01-06,8998703,904050912,100.5,101.5,99.2,101.5,1.0,3966
3,2010-01-07,15033248,1566120544,102.0,107.0,101.5,103.5,2.0,6229
4,2010-01-08,5145744,526385632,104.0,104.5,100.5,103.5,0.0,2782
5,2010-01-11,4284184,448207362,103.0,106.0,103.0,106.0,2.5,2487
6,2010-01-12,4344650,449652950,105.0,105.5,102.0,103.0,-3.0,2450
7,2010-01-13,10496787,1047631187,101.0,102.5,98.4,99.3,-3.7,5486
8,2010-01-14,9679541,992618664,100.0,105.5,99.9,104.0,4.7,5180
9,2010-01-15,8845298,933881098,105.5,107.0,104.5,105.0,1.0,4291
10,2010-01-18,3537496,369758580,104.0,106.0,103.0,105.0,0.0,1934
11,2010-01-19,5984932,612820073,105.0,106.0,101.0,101.5,-3.5,3498
12,2010-01-20,4707366,476666632,103.0,103.0,99.9,102.0,0.5,2478
13,2010-01-21,4559774,455967700,101.0,101.5,99.2,99.9,-2.1,2636
14,2010-01-22,7657776,745382155,98.0,98.9,96.0,96.5,-3.4,3790
15,2010-01-25,4522414,446224621,96.5,99.6,96.5,98.1,1.6,2691
16,2010-01-26,7525546,716053337,100.0,100.0,91.6,93.0,-5.1,4199
17,2010-01-27,5930933,556864235,93.5,95.8,92.1,94.0,1.0,3193
18,2010-01-28,7663372,734675877,95.3,98.0,93.2,97.3,3.3,3798
19,2010-01-29,6540414,617125255,95.1,95.6,93.0,94.3,-3.0,3285
20,2010-02-01,5440871,506590102,95.0,95.4,91.6,92.5,-1.8,2966
21,2010-02-02,8883509,813019048,94.0,94.3,88.5,88.5,-4.0,4566
22,2010-02-03,9502090,873579704,90.0,93.7,89.7,93.5,5.0,4104
23,2010-02-04,11201653,1063150435,93.6,96.1,93.4,95.0,1.5,4830
24,2010-02-05,11774405,1060840140,90.0,92.0,88.7,90.0,-5.0,5378
25,2010-02-06,5122321,461187547,90.5,91.4,87.2,90.0,0.0,2737
26,2010-02-08,8588605,798497608,91.2,94.2,90.5,92.1,2.1,4709
27,2010-02-09,8850174,847187228,93.1,97.9,92.5,96.8,4.7,4663
28,2010-02-10,8843085,851625137,97.8,97.8,95.0,95.0,-1.8,4120
29,2010-02-22,4150964,400366755,98.0,98.0,95.1,95.2,0.2,2337
30,2010-02-23,3832472,360466871,95.2,95.6,93.2,94.3,-0.9,2319
31,2010-02-24,3508073,330875925,93.2,95.4,93.1,93.5,-0.8,2090
32,2010-02-25,4964883,458672623,94.5,94.8,91.0,91.2,-2.3,2795
33,2010-02-26,5745390,521439388,91.7,92.5,89.5,90.3,-0.9,2727
34,2010-03-01,4443755,414648270,91.0,95.0,90.5,94.0,3.7,2652
35,2010-03-02,3937535,373132424,95.9,95.9,93.8,93.9,-0.1,2254
36,2010-03-03,2892359,272729295,94.6,95.1,93.3,93.9,0.0,1479
37,2010-03-04,2777793,260812013,95.0,95.0,93.0,93.0,-0.9,1498
38,2010-03-05,2918362,276385463,93.8,95.5,93.8,94.7,1.7,1720
39,2010-03-08,6210783,602252731,95.9,98.3,95.7,97.5,2.8,3542
40,2010-03-09,9643207,961969900,97.5,101.5,97.5,100.5,3.0,4879
41,2010-03-10,5031738,500357062,101.5,101.5,98.6,99.0,-1.5,2502
42,2010-03-11,4594030,453468730,99.5,100.0,97.6,98.1,-0.9,2340
43,2010-03-12,6883868,686109000,98.9,101.0,98.0,100.0,1.9,3468
44,2010-03-15,3689456,363372688,100.0,100.5,97.6,97.6,-2.4,1820
45,2010-03-16,3253962,322753614,98.1,99.8,97.9,99.4,1.8,1780
46,2010-03-17,7159162,725942524,100.5,102.5,100.0,102.5,3.1,4049
47,2010-03-18,5246218,536436318,103.0,103.0,101.0,103.0,0.5,2433
48,2010-03-19,4297563,440519989,103.0,103.5,101.0,103.5,0.5,2042
49,2010-03-22,3686624,373063700,103.0,103.5,100.0,100.5,-3.0,1982
50,2010-03-23,3996727,398889880,101.0,101.5,98.8,98.9,-1.6,2230
51,2010-03-24,3079231,307410492,100.5,100.5,99.2,99.2,0.3,1522
52,2010-03-25,2962632,295046504,98.5,100.5,98.5,99.7,0.5,1644
53,2010-03-26,4958977,496911454,99.7,102.0,98.9,102.0,2.3,2638
54,2010-03-29,3638141,369446741,102.5,102.5,101.0,101.0,-1.0,1741
55,2010-03-30,3587925,359319800,102.0,102.0,99.5,100.0,-1.0,1655
56,2010-03-31,3224994,320911793,99.1,100.5,98.8,99.0,-1.0,1690
57,2010-04-01,7789991,785488861,99.0,102.0,99.0,100.5,1.5,3590
58,2010-04-02,13760265,1445284148,103.0,106.5,103.0,104.5,4.0,5912
59,2010-04-06,9278060,979439800,105.5,107.0,104.5,105.0,0.5,4351
60,2010-04-07,7300121,762664963,106.0,107.0,103.0,103.0,-2.0,3628
61,2010-04-08,5940812,618038448,104.0,105.0,103.0,104.0,1.0,2776
62,2010-04-09,5835437,611989822,105.5,106.0,103.5,106.0,2.0,3305
63,2010-04-12,9106878,980448324,108.0,108.5,106.5,108.0,2.0,3680
64,2010-04-13,4954329,530946693,107.0,108.5,105.5,105.5,-2.5,1993
65,2010-04-14,2894022,307087354,106.0,107.0,105.0,107.0,1.5,1642
66,2010-04-15,4388685,473473111,108.0,108.5,106.0,107.5,0.5,2059
67,2010-04-16,3003994,317900849,108.0,108.0,105.0,105.5,-2.0,1697
68,2010-04-19,4694639,485102846,103.0,105.0,101.0,101.0,-4.5,2305
69,2010-04-20,4385504,449877416,102.0,104.0,101.0,104.0,3.0,2039
70,2010-04-21,5704793,608460429,105.0,108.0,105.0,106.5,2.5,3106
71,2010-04-22,3710601,394719206,106.0,107.5,105.0,106.0,-0.5,2268
72,2010-04-23,5716847,617924476,108.0,109.5,106.5,108.0,2.0,3044
73,2010-04-26,6840970,757046609,109.0,111.5,109.0,111.5,3.5,3856
74,2010-04-27,4016066,441798260,111.5,111.5,109.0,110.0,-1.5,1842
75,2010-04-28,3125694,337369973,106.0,109.5,106.0,109.5,-0.5,1811
